1,3,23,99,7
2,33,231,20,55
3,0,1,2,4
2,250,1,250,0
3,3,1,1,0
1,202,101,247,0
2,3,23,99,7
3,33,231,20,55
1,0,1,2,4
2,250,1,250,0
3,3,1,1,0
1,202,101,247,0
1,3,23,99,7
2,33,231,20,55
1,0,1,2,4
2,250,1,250,0
3,3,1,1,0
3,202,101,247,0
2,3,23,99,7
1,33,231,20,55
1,0,1,2,4
2,250,1,250,0
3,3,1,1,0
3,202,101,247,0
2,3,53,99,7
1,33,231,20,55
1,0,1,2,4
2,250,1,250,0
3,3,1,1,0
3,202,101,247,0
2,3,23,99,7
1,33,231,20,55
2,0,1,2,4
2,250,1,250,0
3,3,1,1,0
3,202,101,247,0
2,3,23,99,7
1,33,231,20,55
2,0,1,2,4
1,250,1,250,0
3,3,1,1,0
2,202,101,247,0
3,3,23,99,7
1,33,231,20,55
1,0,1,2,4
2,250,1,250,0
3,3,1,1,0
1,202,101,247,0
2,3,23,99,7
1,33,231,20,55
1,0,1,2,4
2,250,1,250,0
3,3,1,1,0
2,202,101,247,0
